Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
128.86,5.09,5,0,0.10575,0.8
128.96,5.09,5,0,0.0566409,0.8
129.06,5.09,5,0,0.0281168,0.8
129.16,5.09,5,0,0.0125482,0.8
129.26,5.09,5,0,0.00509139,0.8
129.36,5.09,5,0,0.00197635,0.8
129.46,5.09,5,0,0.000713403,0.8
122.86,4.99,5,0,0.000313126,0.8
122.96,4.99,5,0,0.0010016,0.8
123.06,4.99,5,0,0.00385394,0.8
123.16,4.99,5,0,0.0115079,0.8
123.26,4.99,5,0,0.0304613,0.8
123.36,4.99,5,0,0.0723682,0.8
123.46,4.99,5,0,0.158189,0.8
123.56,4.99,5,0,0.314496,0.8
123.66,4.99,5,0,0.571224,0.8
123.76,4.99,5,0,0.950176,0.8
123.86,4.99,5,0,1.4482,0.8
123.96,4.99,5,0,2.03326,0.8
124.06,4.99,5,0,2.64859,0.8
124.16,4.99,5,0,3.24346,0.8
124.26,4.99,5,0,3.81707,0.8
124.36,4.99,5,0,4.45937,0.8
124.46,4.99,5,0,5.35594,0.8
124.56,4.99,5,0,6.74429,0.8
124.66,4.99,5,0,8.81669,0.8
124.76,4.99,5,0,11.5996,0.8
124.86,4.99,5,0,14.8651,0.8
124.96,4.99,5,0,18.1236,0.8
125.06,4.99,5,0,20.7279,0.8
125.16,4.99,5,0,22.0687,0.8
125.26,4.99,5,0,21.7863,0.8
125.36,4.99,5,0,19.9055,0.8
125.46,4.99,5,0,16.8294,0.8
125.56,4.99,5,0,13.2061,0.8
125.66,4.99,5,0,9.74474,0.8
125.76,4.99,5,0,7.04248,0.8
125.86,4.99,5,0,5.51851,0.8
125.96,4.99,5,0,5.41501,0.8
126.06,4.99,5,0,6.82271,0.8
126.16,4.99,5,0,9.68101,0.8
126.26,4.99,5,0,13.7156,0.8
126.36,4.99,5,0,18.3935,0.8
126.46,4.99,5,0,22.9501,0.8
126.56,4.99,5,0,26.5429,0.8
126.66,4.99,5,0,28.4918,0.8
126.76,4.99,5,0,28.4964,0.8
126.86,4.99,5,0,26.7261,0.8
126.96,4.99,5,0,23.7266,0.8
127.06,4.99,5,0,20.1946,0.8
127.16,4.99,5,0,16.739,0.8
127.26,4.99,5,0,13.727,0.8
127.36,4.99,5,0,11.2667,0.8
127.46,4.99,5,0,9.28668,0.8
127.56,4.99,5,0,7.6522,0.8
127.66,4.99,5,0,6.25388,0.8
127.76,4.99,5,0,5.03748,0.8
127.86,4.99,5,0,3.99558,0.8
127.96,4.99,5,0,3.13608,0.8
128.06,4.99,5,0,2.45366,0.8
128.16,4.99,5,0,1.92162,0.8
128.26,4.99,5,0,1.50335,0.8
128.36,4.99,5,0,1.16533,0.8
128.46,4.99,5,0,0.882726,0.8
128.56,4.99,5,0,0.641048,0.8
128.66,4.99,5,0,0.441079,0.8
128.76,4.99,5,0,0.284116,0.8
128.86,4.99,5,0,0.171068,0.8
128.96,4.99,5,0,0.0946635,0.8
129.06,4.99,5,0,0.0489123,0.8
129.16,4.99,5,0,0.022255,0.8
129.26,4.99,5,0,0.00960544,0.8
129.36,4.99,5,0,0.00393166,0.8
129.46,4.99,5,0,0.00125475,0.8
122.96,4.89,5,0,0.000707166,0.8
123.06,4.89,5,0,0.00288179,0.8
123.16,4.89,5,0,0.00849548,0.8
123.26,4.89,5,0,0.0223218,0.8
